 3837677923.294192   1946279855.369282   1199056846.164567   1145898454.639947   1348231449.218082   2874088590.164819   814739412.060742   421817998.357573   3124603910.499290   3272774733.599548  
 324156712.905281   3547962188.785133   1660073782.696792   1815669325.451309   555956312.111270   4120874646.106816   1749487658.533133   3765682830.646725   41349114.074536   1416390230.044192  
 1087849583.343059   265696163.627562   314288441.364808   2324194773.771246   3718508756.843439   2820722554.649869   3587864928.927017   375987684.491713   497401418.837945   4256048031.812315  
 2627058997.668032   40112146.132137   1907360691.181597   3826115743.832598   1186010500.772084   3255592042.399680   2405237137.997417   2000749812.832827   3677409940.757252   1234873854.496707  
 978557352.432375   4001566553.662533   487868847.281840   2638631035.129167   1522268685.113842   1043825059.393110   2464538485.235983   3271756243.646975   514540694.039835   2505887499.310519  
 393179277.691167   1602390179.382894   2771583562.938082   707467619.055975   3926584853.154140   2195125123.781521   3528190073.705844   3219482586.081157   2571112710.273233   4025591392.543789  
 3180563423.893472   903204511.941265   4065703440.675926   792956919.075069   434353061.773863   956746745.448010   4048548861.474749   2839590099.771280   2957496460.280838   3430991606.232000  
 4074463854.267987   3936053712.713212   3137590965.894533   267365507.549827   2279717551.842379   364892455.008375   1311190466.942938   449288841.078362   3636648598.655350   1825731062.982773  
 2955176240.388881   4029827778.346517   3428121142.365667   1431792607.326963   442328201.402492   3059738799.519807   3626917631.108483   3970518177.108335   1984254189.600964   1903063145.381717  
 3701142373.652124   869850417.494436   2806267559.322982   3471878618.328051   1662807238.569505   3240620521.096845   133658169.776061   1416388904.044254   1785243424.868126   3091154530.056898  
